"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160006820699,19,"F",1,1,31,"MG","I","D","A",1,1,1,1,1,679.6,772.4,752.2,766.1,900,3870.3
160008484962,22,"F",1,1,33,"RJ","Q","D","A",1,1,1,1,1,652.1,741.8,752.2,695.6,680,3521.7
160001057696,17,"F",1,3,50,"MS","Q","D","B",1,1,1,1,1,641.3,682.9,752.1,706.1,900,3682.4
160003439227,18,"F",1,3,35,"SP","K","D","A",1,1,1,1,1,707,719.4,752,729.3,920,3827.7
160004146965,20,"F",1,1,35,"SP","K","D","A",1,1,1,1,1,612.3,714.4,752,641.9,860,3580.6
160002508767,29,"F",1,1,31,"MG","E","D","A",1,1,1,1,1,577.5,658.5,751.9,647.7,800,3435.6
160004261762,24,"F",0,1,31,"MG","P","D","A",1,1,1,1,1,688.7,746.3,751.9,902.4,660,3749.3
160003504403,18,"M",1,1,41,"PR","O","D","A",1,1,1,1,1,763.2,773.9,751.8,834.5,960,4083.4
160004397978,17,"F",1,3,31,"MG","Q","D","A",1,1,1,1,1,721.2,714.5,751.8,842.6,980,4010.1
160004651756,16,"F",2,1,35,"SP","O","D","A",1,1,1,1,1,685.6,733.9,751.7,783.4,720,3674.6
160005596888,18,"M",3,1,23,"CE","P","D","A",1,1,1,1,1,763,806.4,751.7,838.7,860,4019.8
160007642783,39,"M",0,1,31,"MG","M","B","A",1,1,1,1,1,705.3,723.7,751.7,824.6,680,3685.3
160000131021,17,"F",1,1,22,"PI","K","E","A",1,1,1,1,1,626.8,715,751.5,593.7,900,3587
160002347540,20,"M",1,1,50,"SP","O","D","A",1,1,1,1,1,741.2,742.6,751.5,762.7,940,3938
160007073307,43,"F",1,1,25,"PB","M","B","B",1,1,1,1,1,581.1,705.6,751.4,421.7,920,3379.8
160005569606,20,"F",1,1,35,"SP","P","D","A",1,1,1,1,1,728.9,706.9,751.2,891.9,780,3858.9
