"CO_MUNICIPIO_RESIDENCIA","MUNICIPIO","MEDIA_FINAL","MEDIA_CN","MEDIA_CH","MEDIA_LC","MEDIA_MT","MEDIA_REDACAO"
1100452,"BURITIS",2418.46020558003,457.372393538913,509.156093979442,501.51718061674,468.065051395008,482.349486049927
1100502,"NOVO HORIZONTE DO OESTE",2390.09317406143,457.147098976109,506.441638225256,493.02252559727,465.905119453925,467.576791808874
1100601,"CACAULÂNDIA",2423,465.129357798165,513.916513761468,497.392660550459,456.653211009174,489.908256880734
1100700,"CAMPO NOVO DE RONDÔNIA",2399.41333333333,445.0075,509.674166666667,495.018333333333,458.046666666667,491.666666666667
1100809,"CANDEIAS DO JAMARI",2423.98621169916,455.196796657382,515.351810584958,500.656545961003,461.193314763231,491.587743732591
1100908,"CASTANHEIRAS",2357.2101010101,441.152525252525,499.30303030303,481.89797979798,458.694949494949,476.161616161616
1100924,"CHUPINGUAIA",2377.74181818182,455.597272727273,502.731818181818,497.536363636364,460.058181818182,461.818181818182
1100940,"CUJUBIM",2371.28848167539,445.706282722513,495.918848167539,488.732460732984,455.904712041885,485.026178010471
1101005,"GOVERNADOR JORGE TEIXEIRA",2350.74275862069,455.235862068966,494.836551724138,491.947586206897,452.446896551724,456.275862068966
1101104,"ITAPUÃ DO OESTE",2376.87005649718,458.013559322034,503.567231638418,493.064971751412,456.009604519774,466.214689265537
1101203,"MINISTRO ANDREAZZA",2441.21335877863,470.260305343511,508.335114503817,499.466030534351,466.663358778626,496.488549618321
1101302,"MIRANTE DA SERRA",2438.74987654321,457.23950617284,512.968148148148,500.15037037037,475.33012345679,493.061728395062
1101401,"MONTE NEGRO",2402.73611111111,453.291975308642,510.246604938272,498.327469135802,466.240432098765,474.62962962963
1101435,"NOVA UNIÃO",2408.98520710059,458.668047337278,503.001183431953,497.29349112426,472.034319526627,477.988165680473
1101450,"PARECIS",2415.21515151515,454.492424242424,512.581818181818,491.531818181818,459.639393939394,496.969696969697
1101468,"PIMENTEIRAS DO OESTE",2411.81724137931,454.386206896552,502.827586206896,506.641379310345,447.962068965517,500
1101476,"PRIMAVERA DE RONDÔNIA",2411.80263157895,458.673684210526,507.122368421053,504.65,460.830263157895,480.526315789474
1101484,"SÃO FELIPE DOESTE",2435.36583850932,462.25652173913,511.12049689441,497.048447204969,476.493167701863,488.447204968944
1101492,"SÃO FRANCISCO DO GUAPORÉ",2381.21462140992,460.213838120104,504.770234986945,493.972062663185,461.109660574412,461.148825065274
1101500,"SERINGUEIRAS",2399.39880478088,456.000796812749,505.722310756972,489.408366533864,467.550199203187,480.717131474104
1101559,"TEIXEIRÓPOLIS",2393.88503937008,447.264566929134,500.484251968504,493.232283464567,449.124409448819,503.779527559055
1101609,"THEOBROMA",2348.50662251656,446.909933774834,495.662251655629,492.996026490066,447.375496688742,465.562913907285
1101708,"URUPÁ",2422.9436440678,453.920338983051,509.336440677966,501.319491525424,465.147033898305,493.220338983051
1101757,"VALE DO ANARI",2441.92598425197,453.724409448819,508.533070866142,504.797637795275,469.988976377953,504.88188976378
1101807,"VALE DO PARAÍSO",2395.6,454.784126984127,506.413227513227,494.156084656085,474.849735449735,465.396825396825
1200013,"ACRELÂNDIA",2372.62462686567,450.167661691542,502.890547263682,492.54776119403,455.774875621891,471.243781094527
1200054,"ASSIS BRASIL",2375.9,449.110619469026,490.692920353982,491.404424778761,454.780530973451,489.911504424779
1200104,"BRASILÉIA",2439.84153225806,460.723387096774,514.627217741936,503.802822580645,457.220362903226,503.467741935484
1200138,"BUJARI",2393.02222222222,450.774652777778,501.913541666667,496.624652777778,447.945486111111,495.763888888889
1200179,"CAPIXABA",2339.49526066351,438.587203791469,494.769194312796,488.515639810427,438.002369668247,479.620853080569
1200203,"CRUZEIRO DO SUL",2386.78796650282,447.541871472784,500.39126160568,491.071582013472,442.048498088476,505.73475332241
1200252,"EPITACIOLÂNDIA",2429.14918032787,455.718579234973,509.925136612022,501.444262295082,456.924590163934,505.136612021858
1200302,"FEIJÓ",2413.39513776337,447.511507293355,510.216207455429,497.659643435981,446.079092382496,511.92868719611
1200328,"JORDÃO",2273.15266666667,431.323333333333,484.168666666667,462.894666666667,429.166,465.6
1200336,"MÂNCIO LIMA",2343.1303030303,439.033333333333,488.73446969697,485.193308080808,436.078282828283,494.090909090909
1200344,"MANOEL URBANO",2362.24244604317,444.551798561151,498.761870503597,489.471942446043,440.679856115108,488.776978417266
1200351,"MARECHAL THAUMATURGO",2291.58376383764,432.905166051661,488.369003690037,473.964575645756,427.488929889299,468.856088560886
1200385,"PLÁCIDO DE CASTRO",2379.4,450.061003861004,502.417953667954,494.204633204633,448.585135135135,484.131274131274
1200393,"PORTO WALTER",2301.21172413793,434.570344827586,481.96275862069,471.124827586207,426.795172413793,486.758620689655
1200401,"RIO BRANCO",2461.47527364686,461.261198761984,520.053208273571,507.985264588209,461.684962633049,510.490639390051
1200427,"RODRIGUES ALVES",2352.1901459854,438.81496350365,490.458759124088,480.401824817518,440.835766423358,501.678832116788
